#normalized=false
#log_axis=false
#tN	2.0	17.0	21.0	68.0	95.0	102.0	122.0	125.0	125.0	141.0	147.0	158.0	162.0	174.0	231.0	310.0	770.0	818.0	961.0	5025.0	13128.0	15157.0	17899.0	20509.0	22381.0	25048.0	28256.0	32683.0	37406.0	40795.0	45009.0	50948.0	58813.0	65803.0	73894.0	83469.0	92963.0	102122.0	113192.0	124702.0	138383.0	152906.0	163830.0	178498.0	193114.0	206707.0	219117.0	235866.0	253475.0	276550.0	300850.0	328647.0	358126.0	394043.0	426370.0	456044.0	492978.0	529434.0	556620.0	594575.0	634532.0	669957.0	705548.0	743656.0	788742.0	819838.0	858530.0	894477.0	932589.0	977414.0	1019559.0	1063715.0	1100141.0	1138533.0	1171472.0	1201207.0	1230421.0	1259292.0	1289897.0	1319619.0	1349038.0	1380580.0	1410740.0	1439125.0	1465015.0	1493850.0	1522979.0	1550764.0	1582526.0	1608669.0	1639702.0	1671003.0	1705995.0	1739367.0	1764716.0	1790522.0	1812477.0	1836141.0	1857329.0	1878829.0	1900021.0	1919150.0	1935022.0	1943777.0	1952758.0	
#bin_mitte	2001-05	2001-06	2001-07	2001-08	2001-09	2001-10	2001-11	2001-12	2002-01	2002-02	2002-03	2002-04	2002-05	2002-06	2002-07	2002-08	2002-09	2002-10	2002-11	2002-12	2003-01	2003-02	2003-03	2003-04	2003-05	2003-06	2003-07	2003-08	2003-09	2003-10	2003-11	2003-12	2004-01	2004-02	2004-03	2004-04	2004-05	2004-06	2004-07	2004-08	2004-09	2004-10	2004-11	2004-12	2005-01	2005-02	2005-03	2005-04	2005-05	2005-06	2005-07	2005-08	2005-09	2005-10	2005-11	2005-12	2006-01	2006-02	2006-03	2006-04	2006-05	2006-06	2006-07	2006-08	2006-09	2006-10	2006-11	2006-12	2007-01	2007-02	2007-03	2007-04	2007-05	2007-06	2007-07	2007-08	2007-09	2007-10	2007-11	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01
0,500	2,000	15,000	19,000	61,000	85,000	91,000	108,000	111,000	111,000	126,000	132,000	140,000	144,000	153,000	205,000	275,000	705,000	747,000	882,000	4238,000	10035,000	11464,000	13517,000	15421,000	16879,000	18827,000	20825,000	24173,000	27628,000	30282,000	33335,000	37932,000	44383,000	50397,000	56936,000	64552,000	72031,000	79133,000	87895,000	96579,000	106757,000	118089,000	125823,000	136743,000	148636,000	159192,000	169026,000	182798,000	196683,000	215629,000	235513,000	259216,000	283464,000	315069,000	343803,000	369858,000	401617,000	432695,000	455543,000	488651,000	523592,000	554081,000	585411,000	619318,000	659689,000	687405,000	722215,000	754038,000	788106,000	827902,000	866009,000	905940,000	938765,000	973477,000	1003410,000	1029980,000	1056165,000	1081866,000	1109145,000	1135767,000	1162311,000	1190503,000	1217501,000	1242839,000	1265837,000	1292071,000	1318710,000	1344119,000	1373140,000	1396829,000	1425375,000	1454212,000	1486626,000	1516704,000	1539988,000	1563284,000	1583327,000	1604630,000	1623959,000	1643622,000	1662823,000	1680127,000	1694379,000	1702333,000	1710569,000	
0,750	0,000	0,000	0,000	0,667	2,000	2,000	2,667	2,667	2,667	2,667	2,667	4,000	4,000	5,333	5,333	5,333	8,000	8,667	9,333	74,667	334,000	382,000	453,333	520,667	562,667	598,000	777,333	876,000	1026,000	1052,000	1191,333	1219,333	1100,667	1161,333	1304,000	1400,000	1521,333	1676,000	1859,333	2024,000	2202,667	2448,667	2618,667	2805,333	2935,333	3126,000	3160,667	3314,000	3458,000	3584,000	3790,667	3938,667	4110,000	4144,667	4176,667	4346,000	4588,667	4755,333	4967,333	5163,333	5290,667	5500,667	5670,667	5814,000	5891,333	5993,333	6140,667	6308,667	6471,333	6714,667	6860,000	7045,333	7152,000	7321,333	7406,000	7511,333	7638,667	7717,333	7921,333	8005,333	8067,333	8199,333	8342,667	8500,667	8663,333	8773,333	8908,667	8978,667	9094,000	9198,667	9311,333	9412,667	9508,667	9650,000	9800,000	9908,667	10008,667	10170,000	10218,000	10353,333	10502,667	10664,000	10837,333	10993,333	11116,667	
2,625	0,000	0,000	0,000	0,889	1,333	1,778	1,778	1,333	1,333	0,889	0,889	0,889	0,889	0,889	2,222	4,000	7,111	8,000	8,000	65,333	260,889	330,667	363,111	416,444	451,111	493,333	592,000	688,889	777,333	832,889	948,444	1047,556	1245,333	1129,778	1211,556	1304,889	1435,556	1541,333	1582,222	1717,778	1936,444	2127,111	2315,111	2505,333	2630,667	2796,444	2880,889	2992,889	3152,889	3315,556	3533,333	3705,333	3858,667	3985,333	4134,667	4225,778	4372,444	4614,667	4778,667	4927,556	5056,444	5243,556	5312,000	5424,889	5483,111	5562,222	5684,889	5836,889	6003,556	6066,667	6157,333	6240,444	6272,889	6348,000	6430,222	6488,889	6523,556	6624,000	6671,111	6812,000	6869,778	6985,778	7026,667	7097,778	7159,111	7212,444	7234,667	7240,000	7223,111	7188,889	7164,444	7150,667	7148,000	7156,444	7191,111	7268,889	7304,889	7326,222	7394,222	7377,333	7385,333	7414,667	7430,222	7432,444	7461,778	
3,938	0,000	0,593	0,593	0,889	0,889	0,889	1,185	1,481	1,481	1,778	1,778	1,778	1,778	1,481	1,778	1,778	2,370	2,963	3,852	58,370	201,778	248,889	295,704	341,333	346,370	402,370	460,148	511,704	578,074	618,074	690,667	770,963	895,111	1067,556	1152,000	1265,778	1379,852	1509,333	1632,593	1719,704	1866,370	1993,778	2164,148	2324,444	2424,889	2538,963	2642,963	2750,222	2916,444	3147,556	3283,259	3486,222	3685,630	3866,370	3955,852	4066,370	4289,185	4476,148	4605,333	4801,778	4978,963	5138,667	5309,630	5410,667	5521,185	5603,259	5705,481	5812,741	5892,148	5984,296	6031,407	6104,889	6205,333	6263,704	6322,667	6385,481	6418,370	6488,296	6566,222	6605,333	6656,000	6701,333	6765,037	6778,963	6826,963	6862,815	6900,444	6858,963	6836,741	6799,704	6744,889	6709,037	6665,778	6612,741	6558,815	6520,593	6515,556	6505,481	6467,259	6458,963	6441,185	6389,926	6318,519	6263,407	6215,407	
5,906	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,198	0,198	0,593	1,580	1,778	1,975	25,284	96,988	108,049	133,136	149,926	166,519	186,864	211,160	244,346	290,765	309,728	324,938	382,815	414,222	448,395	491,852	551,901	610,568	662,716	746,074	835,358	933,333	1028,346	1137,185	1279,407	1373,037	1453,235	1533,827	1616,593	1732,148	1812,741	1966,222	2059,062	2228,346	2327,704	2398,815	2469,728	2602,074	2742,914	2855,704	2957,235	3093,333	3220,148	3307,259	3429,926	3558,914	3633,185	3706,074	3799,901	3871,407	3973,728	4075,654	4137,481	4189,630	4240,790	4268,840	4326,519	4389,926	4429,630	4473,284	4536,494	4592,593	4615,506	4619,457	4684,444	4725,531	4746,864	4768,198	4796,642	4806,321	4815,407	4828,444	4853,333	4848,395	4853,926	4843,852	4825,481	4826,272	4849,580	4835,358	4821,136	4797,827	4761,481	4675,358	4630,519	4592,593	
8,859	0,000	0,000	0,000	0,000	0,000	0,000	0,132	0,132	0,132	0,263	0,263	0,395	0,395	0,527	0,395	0,527	1,053	1,053	1,185	7,770	44,115	51,621	59,259	68,477	77,037	87,572	109,827	126,683	144,724	158,683	177,383	197,663	220,971	231,374	257,185	304,066	336,593	369,778	418,897	486,189	542,551	591,539	641,449	709,136	762,337	825,547	888,362	941,432	1014,650	1099,588	1180,181	1241,811	1352,823	1456,593	1545,218	1616,066	1707,062	1798,979	1876,280	1958,321	2064,329	2165,597	2241,449	2321,778	2424,757	2489,942	2567,770	2621,498	2696,296	2803,226	2860,774	2938,469	3011,424	3054,354	3102,815	3153,383	3207,374	3254,914	3310,617	3362,765	3406,354	3452,708	3510,914	3547,918	3579,523	3610,733	3637,992	3663,276	3693,432	3730,041	3768,757	3786,272	3835,786	3904,263	3915,325	3940,082	3961,416	3981,695	4001,975	4030,815	4061,103	4084,412	4074,403	4051,753	4032,395	
13,289	0,000	0,000	0,000	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,263	0,439	0,615	0,615	0,615	5,882	19,578	22,299	28,883	36,082	40,472	43,281	50,919	60,225	69,443	78,573	88,143	101,663	113,690	124,664	137,481	152,757	176,285	201,481	225,361	264,340	318,595	362,403	397,520	439,748	471,177	506,118	548,170	594,875	642,722	690,919	747,018	809,438	885,904	947,446	1007,934	1065,525	1149,454	1217,756	1273,152	1343,824	1423,012	1483,062	1553,295	1606,672	1690,250	1743,188	1783,133	1838,091	1901,300	1986,370	2074,513	2153,174	2211,468	2287,495	2339,731	2386,700	2432,000	2482,656	2527,429	2559,210	2603,281	2659,556	2709,597	2748,927	2786,326	2821,794	2854,014	2902,123	2949,706	3004,137	3055,583	3109,838	3165,498	3227,303	3274,711	3315,885	3342,047	3376,549	3405,695	3435,808	3465,569	3500,598	3540,455	3552,483	3560,647	
19,934	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,176	0,176	0,176	2,517	8,194	8,955	10,359	12,525	13,695	19,665	24,172	26,981	30,200	32,366	32,658	37,165	41,321	43,720	50,158	56,304	64,205	73,101	85,626	101,780	119,982	137,599	152,523	170,667	190,215	208,066	222,288	243,007	263,082	281,928	305,163	333,139	370,012	404,719	432,461	462,193	490,813	534,943	572,635	605,527	638,829	676,521	712,282	749,973	780,759	808,794	847,715	884,997	917,597	959,093	988,474	1024,936	1057,712	1090,956	1123,204	1159,199	1188,229	1219,892	1249,624	1283,570	1313,302	1345,317	1379,790	1411,687	1439,663	1468,225	1500,649	1531,201	1570,941	1601,258	1631,517	1666,575	1699,702	1741,842	1769,233	1808,271	1831,565	1860,126	1890,034	1914,908	1943,879	1969,983	2006,211	2020,960	2035,358	
29,900	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,117	0,117	0,195	0,819	3,004	3,356	4,487	5,853	6,321	7,414	8,779	10,925	12,174	13,617	15,568	17,285	22,201	24,777	25,323	27,976	28,991	29,576	32,697	36,872	44,715	49,944	57,084	66,253	71,755	78,076	85,060	92,396	101,565	111,788	123,298	134,809	147,802	160,639	172,344	186,586	204,105	222,834	234,306	252,879	270,593	285,732	298,452	315,074	335,324	347,810	363,145	378,830	393,579	413,947	431,700	449,688	465,763	482,463	495,456	506,498	519,921	534,084	550,745	561,475	574,156	591,051	607,556	624,841	641,112	654,651	667,723	682,472	702,215	720,593	738,151	752,588	769,678	792,699	806,550	823,757	837,063	853,216	866,522	878,383	891,727	902,614	919,821	932,736	942,647	
44,851	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,156	1,014	1,847	2,367	2,393	2,835	3,330	3,538	3,954	4,656	5,567	5,905	6,919	6,815	7,778	11,211	14,749	17,350	19,639	21,408	22,293	21,148	21,642	22,995	25,830	28,692	31,163	32,775	34,908	39,331	48,513	53,091	56,369	60,505	66,670	71,222	75,280	81,497	86,933	92,422	98,717	104,101	110,474	117,888	123,610	131,752	137,553	142,886	150,143	156,230	164,008	169,808	177,560	183,777	190,774	196,523	202,896	209,711	216,578	223,862	230,807	236,920	244,724	250,863	257,158	263,400	271,334	277,733	285,953	293,133	298,881	306,737	314,879	322,006	330,096	336,521	344,299	350,178	356,004	361,441	367,086	373,537	380,274	387,141	392,317	396,193	
